Id	LinkId	CampId	Pos	Pos2	RotAngle	IsEnable	IdleAnimSet	AiLogic	AiParamDesc0	AiParam0	AiParamDesc1	AiParam1	AiParamDesc2	AiParam2	AiParamDesc3	AiParam3	AiParamDesc4	AiParam4	AiParamDesc5	AiParam5	AiParamDesc6	AiParam6	AiParamDesc7	AiParam7
20001	1	3	78.33028 0.08000004 -12.35399		0	FALSE		0																
20002	2	3	78.33028 0.08000004 -12.35399		55.85805	FALSE		0																
#1001	101097	1	55.68451 167 89.44165		180	FALSE		0																
#1002	101097	1	60.54939 167 87.37917		180	FALSE		0																
#1003	101098	1	57.20408 167 35.3036		220	FALSE		0																
#1004	101099	1	51 167 91		0	FALSE		0																
#1005	101094	1	64.54072 172.08 39.34027		180	FALSE		0																
1006	101096	1	71.92841 0.07996559 -6.046996		100.0528	FALSE		0																
1007	101095	1	103.5865 0.07999742 -6.541862		-82.89883	FALSE		0																
1008	100007	1	103.5865 0.07999742 -6.541862		-82.89883	FALSE		0																
